ISBN,freq_R,freq_G,freq_B,mean_R,mean_G,mean_B,median_R,median_G,median_B,dominant_R,dominant_G,dominant_B
030700208X,251.16080196399346,252.20921985815602,244.99849972722313,176.84728897849055,166.00063499112596,159.3250342483147,209.2943125345113,176.82661512976256,156.51352843732744,233,228,221
030712584X,249.40227152667723,250.729793977813,250.1163497094559,164.08887445520088,162.09861136381542,157.49530813686084,178.08236842105262,169.78973684210527,154.33394736842106,222,218,211
030714190X,165.20998141757366,156.21197239182374,145.24342978497478,167.50659995305546,141.50642488259354,130.49721810630322,165.20998141757366,156.21197239182374,145.24342978497478,174,162,151
030720006X,7.938569091179533,134.9519559720363,186.44503941692696,123.13992291809862,145.31043211750404,154.36970771661748,133.20435193945127,134.9519559720363,182.3719487795118,194,191,189
030720314X,251.86489353022762,251.03312392918332,194.0918658725626,178.62506155020102,168.83501201655503,118.6646585802662,179.28198485452373,178.0332801913113,158.4292546831407,237,237,191
030730194X,114.5714761191546,117.60242968880013,92.47711765684807,149.5776459937479,149.98217606326452,127.5439066326541,141.77097870817678,149.50366791912685,118.54320987654322,128,132,105
031020755X,63.40768922707249,47.963823254572155,46.45601388332666,149.85144218037786,126.035087687643,105.96283183496773,146.6848079161816,111.52939464493598,92.29365541327124,92,68,60
031023199X,184.00310478654592,28.552393272962483,134.72496765847347,195.06621032993118,118.88994808615398,130.81576119765043,195.63199013157896,110.62931743421052,132.79050164473685,187,60,127
031041511X,80.5660549528541,121.1684071783433,171.64919395721384,106.16518235144198,116.57656641465114,128.70422985022714,98.41760563380282,121.1684071783433,163.5796362400136,97,125,167
031206117X,40.695232273838634,39.5481662591687,46.624572127139366,129.598929269482,128.5368465850203,136.32794049095702,131.6844790547798,130.718850698174,140.15359828141783,51,50,58
031208823X,35.440739839376974,28.86334874665369,21.623631053784376,166.66591546881403,143.5605151780066,108.78623535941922,187.35744802050698,126.61052042529379,100.8212087297146,21,22,18
031214816X,217.71977909592962,173.48128451626098,119.18797300061362,160.98041607626004,138.1371547720081,100.0667627223237,170.8278207834858,140.28383767300022,101.1323011963406,182,150,106
031220583X,253.79985909704692,109.89901955028475,4.736217929900781,243.7078703692974,164.10591531101895,106.26914061153366,248.09233791748525,142.1778140293638,83.89804241435563,250,111,9
031224679X,7.550428571428571,102.03228571428572,94.75342857142857,123.13750795990468,129.97554191155558,93.94632796035452,129.42067265363622,113.09614368726889,94.75342857142857,52,100,90
031226416X,138.83406484496672,112.63839728160838,63.31799518618151,168.22975005988053,154.27026211341956,124.70035831232119,202.94149125936497,172.99289281598155,96.2160968113715,170,140,77
031229252X,177.7435857805255,57.34420401854714,12.918701700154559,175.48290494312707,108.54892811773213,57.151148831649685,179.22210154765136,119.03610175832398,17.771383730054932,184,80,20
031286227X,58.80536019768105,66.65006652727618,25.931001710701388,103.4638933263436,106.82575395865952,61.66225894678312,93.77231414588674,103.6783966441389,59.429503612211604,49,61,29
031286874X,58.15214976995082,65.85530699666825,99.72933523718864,110.9586721898418,132.12596359613437,158.86578250870937,76.39919557566617,125.94089722288156,171.903062835491,72,95,131
031293744X,9.040615200836195,8.836493952516053,13.056891145288935,106.10615063931229,135.72392941543703,150.11798177534882,82.29296875,158.28076358296622,167.79177679882525,24,25,30
031298748X,72.14635061604854,93.96722746888486,164.29920570392144,93.85675620608265,107.84466411240048,148.51283918933402,72.14635061604854,93.96722746888486,164.29920570392144,74,95,159
033048172X,65.5826394145849,105.78930103456977,132.64685844057533,157.37722729409873,148.8062119047898,103.92468536022076,139.72140336308905,148.91410002825657,67.71662860701682,80,108,123
034041538X,21.204448563484707,83.40750695088045,162.08063021316033,77.10794928500636,92.65159712384457,121.32656579496802,68.47167794798717,90.96785403996525,143.885609978704,41,88,147
034525662X,247.8565306122449,244.49469387755101,195.29397959183675,158.95686809608657,122.55526997804716,100.96640690246412,196.41484375,111.74427198817443,95.06356245380636,237,231,187
034529310X,27.376206296472077,22.591045720613828,20.4546748932131,107.0875497745358,85.08851389223358,67.68467127727335,108.22851432378414,62.31290250943815,39.37774816788807,57,39,30
034530618X,73.24094604582409,76.62416851441242,57.94124168514412,111.32118057876217,123.25749260256266,105.18814452538663,111.2111673224658,123.32883642495784,77.32546374367622,67,75,52
034531784X,234.398,228.4397,218.5331,147.79133162741672,109.91301597277955,116.00341902097254,152.14277879341864,111.85264900662251,111.18170529801324,149,18,56
034535785X,19.195234312946784,73.70643367752184,79.94630659253376,131.6136668864379,113.56456169362102,103.40889651906392,174.08096183542906,73.70643367752184,79.94630659253376,13,54,58
034536208X,252.39432412247947,252.71280391668742,252.016596133101,156.33707210605286,152.87469442701254,155.81569515614368,165.67919708029197,145.7383211678832,132.36824605153782,217,208,199
034536631X,32.3347446052991,18.113630155695166,17.782982791587,151.89111696882748,103.464477584548,77.53426964717552,195.60200176626435,72.28672214182345,62.50685557586837,228,138,96
034537102X,230.5090579710145,235.57957079152732,197.7876254180602,127.78735419015504,141.63705618497755,124.01706188582855,106.595,147.32682926829267,154.83832752613242,205,211,178
034537147X,26.367862784924398,19.523470999774318,23.490295644324082,163.13412877468642,122.9964901876878,88.36097447378627,207.15470085470085,108.35565031982942,80.46950959488272,25,18,22
034537455X,242.74970851146523,243.99329576369996,241.87038476486592,139.11063312425944,137.551800850387,115.73208062078076,176.80661891825142,140.77067669172934,100.69251667078291,21,119,93
034538010X,18.92470172337605,11.551745470614229,7.5484754750331415,149.79455765906104,119.95701209784366,81.80054833430943,197.15227817745804,78.12300737568404,63.41755888650964,33,24,17
034538024X,222.19795458485007,209.5702894782458,170.67186687467498,102.32607389638447,95.88618148980186,103.60964152523358,88.74710338680927,85.57330659536542,107.48997326203208,222,210,176
034542896X,72.91010492485113,56.99754230078457,48.68409112392476,147.52602195991966,125.4692450243966,107.85568702662462,150.72840827980014,115.97430406852249,94.21127765881513,85,64,54
034546477X,160.04701658403147,58.19935031629338,44.065994187040516,190.77728967649344,120.70244574034538,85.95062032877628,228.18515358361773,84.56002462548737,53.175456597578496,246,229,168
037302620X,100.09896365494089,82.86162603999416,63.99854035907167,138.80684555042916,116.86413434582036,82.96647327102127,122.94183445190157,127.70492170022371,63.99854035907167,105,91,72
037302875X,145.9560723514212,116.42859603789836,101.9941429801895,148.62690582652715,122.79914264613508,109.68678333018504,145.9560723514212,116.42859603789836,101.9941429801895,139,107,92
037303315X,77.054795496651,77.41698731651702,77.61764286732222,133.07877028860403,139.38910729299366,141.10619366551856,135.49249892841834,148.08829832833263,152.49678525503643,67,68,69
037305372X,76.48123717384931,46.59205511580182,41.42905306361771,156.36674186108382,115.69754885538896,100.52067418357089,162.71611886537596,98.09473896391856,86.08687764563597,121,91,77
037305940X,210.18201125623872,44.009344801953915,59.37740256982054,159.9642729161935,103.99048450989217,90.61767905550175,168.05531112507856,75.68074570346636,59.37740256982054,202,56,62
037307428X,153.00106237668842,102.90286841705874,86.14524207011686,179.3128492618878,149.7434487250119,118.57775110602279,187.18266037406048,138.63398007341374,86.14524207011686,142,103,91
037307655X,37.317806160781366,31.5946656649136,27.270473328324567,111.67174097207628,98.57228480817453,96.94293584750876,86.96538771129595,73.2064332247557,81.55883550488599,50,52,51
037309423X,57.06840713813615,54.24239920687376,52.45290812954395,153.55568649709875,153.62754704872464,151.51411063860826,151.39982463831652,153.84436650591846,165.21284524331435,201,200,199
037309602X,131.863801208865,105.4175957018133,71.99543317662861,173.53942883967187,155.95313550094858,125.48287908612897,184.70854467420992,151.6082715567694,106.53296917674601,150,123,86
037311527X,242.0859101176104,238.5660877015344,223.71111457278604,162.35461756346325,136.23928119256425,127.11891104535667,185.13990034495976,110.56266768876965,125.0901889092017,236,232,218
037311673X,248.70392749244712,242.36683097471777,229.26101128955318,185.55882289798402,161.11556425193808,144.73703663419343,200.8873282442748,162.30564885496185,132.2708396946565,245,238,225
037311950X,244.93345591454337,244.9052622362315,233.0678574555643,147.11399042546515,147.05800708323585,143.8115542589572,187.32081706218082,149.58970358814352,169.7161096507698,48,82,98
037311995X,245.49158171146124,246.3995983935743,241.23586654309545,125.7896172384076,147.53491828489325,110.49399751344257,121.37325529040973,184.99646821392534,76.19908256880734,242,243,235
037312399X,253.26596719975552,253.88132830803707,253.23286136294183,162.6624788278269,153.4084923257565,147.7454710384606,168.81094527363183,157.33514246947084,153.05336951605608,80,66,57
037316064X,16.191827922597152,49.3425555733248,42.61506476891092,130.68058738308477,133.5730639933316,104.90834000395212,118.49701195219123,122.69223107569721,98.09262948207171,20,51,43
037316632X,172.57682043461685,156.5254797305884,150.3091879527259,125.74856400806007,134.5965281241124,119.21084629134732,116.01551854655564,156.5254797305884,117.4961176951369,164,147,141
037316758X,233.05573911794284,207.72661973854332,204.63238040511422,150.20631054166455,134.1287121310012,140.5468848318366,179.41561938958708,120.9879120879121,161.3757292882147,210,191,187
037319093X,87.55636292223095,141.8424980361351,159.73065593087196,156.6485392399945,174.24576658380687,161.58167072827501,149.18212197159565,168.06182121971597,159.73065593087196,88,140,156
037322401X,170.65934596355737,75.90732472547363,65.78182695788584,154.62660057357382,130.8286770393188,116.02414223478418,170.65934596355737,115.73743852897157,117.60434619707756,149,82,76
037322768X,47.59338372220397,42.491948734801184,98.61156753204075,82.90353771882526,85.32496451368897,124.63127046984866,71.50746863174666,64.71021708822944,122.48894642501493,51,47,101
037324391X,50.81070195627158,48.844649021864214,49.53294016110472,110.74455847418669,135.24016729530723,144.6419406427181,124.17803227485685,147.37383602089486,153.59890983420397,69,67,68
037325511X,24.998200899550223,26.901649175412295,24.357421289355322,123.8979428428732,100.72440630817212,93.7004400906138,116.38812154696133,79.56833419288293,70.74780814853017,209,172,153
037325797X,242.3608979278588,244.19109746738297,224.06696085955488,177.39962127413662,116.3737771504203,96.4989611432611,204.15357944115848,95.98675754625121,51.31528724440117,225,224,205
037327176X,25.75134257524666,18.40339702760085,16.547146247033844,116.43203228348848,89.53925580592804,109.852009159921,106.90498991935483,68.07787298387096,127.31436837029894,42,24,48
037329073X,143.35652457945451,116.98252490609178,70.6687898089172,138.63258491326079,118.5478403498436,55.182590486652785,143.35652457945451,116.98252490609178,40.818629994810586,149,125,81
037329168X,47.1729064463379,64.55641621482056,117.12402100008606,115.84929050405435,91.83327321746489,134.317589345125,132.70202919188324,64.55641621482056,117.12402100008606,50,61,110
037331194X,252.286267937572,252.72776788519954,247.32240494396146,140.72134756562727,129.92502736566888,123.95623417544388,138.3046692607004,131.08443579766538,125.52101167315175,28,19,14
037350182X,218.99650716032133,31.941844219350333,12.568808941669577,159.8725093197708,77.19942484717467,72.6847754982062,168.9840698869476,31.941844219350333,25.275067750677508,199,44,29
037351204X,182.4065648358791,108.89437764055899,38.879915502112446,170.32738519101014,151.06668919554943,112.20407891972074,182.4065648358791,183.56747130985357,92.24834930777423,209,152,64
037359688X,90.64945002391201,14.487087517934002,123.95731707317073,99.69783879520418,56.33911982980857,107.12572994302332,90.64945002391201,14.487087517934002,123.95731707317073,80,21,108
037370268X,34.52342158859471,60.272708757637474,95.96055668703326,88.7658693070162,105.86043415518297,128.58799085405363,34.52342158859471,60.272708757637474,95.96055668703326,36,59,95
037370710X,137.53695610868326,85.14858445753373,74.61200836025081,149.1927433010879,120.68338899345329,120.2679599785783,137.53695610868326,124.01297379801578,124.71603750901659,121,95,99
037371002X,125.2000300571085,6.542831379621281,61.197475202885485,172.50424594280622,131.37600712614295,125.1038721066958,179.56791535601945,152.37203317128967,108.47371197467909,132,71,86
037371114X,126.36826441102757,178.64896616541353,210.9501879699248,154.64567044143925,141.33205483970698,140.95484890785664,143.18756558237146,164.47461423593828,139.89123942259832,213,205,195
037376216X,223.70760089130974,234.39019559296855,227.5642485763803,165.65029056684028,110.71836375679268,102.99357177535467,198.12938408896494,102.63896848137536,79.93323782234957,222,225,216
037382307X,62.23102129983616,46.32659748771163,48.37302020753687,148.277243621269,105.23332544868371,100.57624361985022,177.75881731784582,92.78406751749691,85.39049630411827,146,99,94
037397003X,160.35265282583623,105.42502883506344,72.51268742791234,145.49624028759166,122.54832883170684,102.69444132062799,160.35265282583623,105.42502883506344,82.20991535671101,142,106,80
037541309X,50.30224196277496,7.69331641285956,20.640334179357023,85.61503579181584,47.29239566409622,31.07178519935963,62.81437125748503,11.681691708402894,20.640334179357023,44,25,21
037570714X,197.1275911939579,207.4520327816166,197.4354812791258,121.083676537829,122.41907605187967,109.13543451552755,119.19154030327215,125.0929768555467,114.45969672785316,183,193,183
037572706X,252.39536199095022,252.53068438914028,250.96507352941177,151.95893967061156,149.53797454005888,134.9252925749748,162.42332761578044,134.3499142367067,151.84402116402117,202,194,173
038055657X,171.63547244418817,155.06590328692644,139.7932284372683,94.14571325322235,86.97132968328461,80.74416225370342,98.82232558139535,93.27813953488372,88.44837209302325,167,152,138
038072362X,209.68119266055047,221.73073394495412,219.9525993883792,111.2361252551384,127.81510360834523,141.84699032970667,105.02611150317573,118.71806633733239,167.99972352778545,86,113,162
038072720X,24.294137316094517,146.60889433794026,141.85131520285333,82.97202627209988,118.60245508957942,112.82588295499468,41.7765136123527,138.52241307080016,114.00460829493088,37,136,127
038073107X,38.29190794357832,29.380252412769117,105.18322197475872,85.72971168103433,86.00981176170465,125.37369790744154,88.89816810344827,76.92834051724138,124.50862068965517,50,48,109
038075701X,182.278659416269,169.16724003995117,120.50160914437909,173.84598728370446,175.6171198109795,162.19184417652633,182.278659416269,169.16724003995117,147.91976706567453,185,172,127
038077593X,247.1703622924997,240.68544771598206,222.97697806858113,162.45698342743725,148.2897405383439,137.03240875587343,155.4906580016247,127.13728675873274,149.4364100382816,83,66,67
038077724X,189.18315467075038,193.2238897396631,202.43047473200613,109.00025937187907,118.2012982888165,139.67172319736,88.51964032181732,121.80373169579593,146.37009919697687,72,91,117
038078565X,250.68008542445276,250.28852108916178,138.5922050186866,167.7746059554702,151.97533975793758,88.19551114489201,170.42486514256356,164.6118217909131,92.28804587560653,221,225,128
038080302X,27.04328310355883,14.251843539596024,7.266271240782302,132.0567882729892,104.06897435597179,90.72594597455735,145.00183673469388,83.57959183673469,66.42571428571429,220,173,164
038080316X,61.869328202661535,58.18807118807119,91.51467051467051,110.9401731761219,111.76336849603835,118.80067737763075,82.3606640691174,99.9452820599695,119.17471042471043,65,70,113
038081563X,247.0142947903431,249.74968233799237,250.96378653113086,152.38748798185588,137.33851040336972,137.65598687991107,169.78226902173913,166.79415760869566,159.64164402173913,18,15,15
038081918X,252.69406981356605,252.15499801666004,252.34212614042048,177.20050948495856,124.58370279204942,159.75135606088392,203.2108660570199,118.59763525618058,135.18643216080403,192,55,129
038089887X,77.01039890896693,34.15973406068871,23.143709512444595,133.539057761925,124.34126823263587,92.56411342230439,133.91616766467067,130.58318146316063,92.2902889872429,153,155,116
038518915X,92.12985924932975,89.83763404825737,90.05445710455764,139.16254227393193,134.2524656906556,135.209093567303,115.84582287558264,114.09573323771961,111.44926496952313,83,78,85
038529719X,231.29238374221896,230.4824240205053,230.02068839253022,136.79206803389644,134.6860922580009,134.17856763803354,143.48001269035532,140.81662436548223,140.2344543147208,202,201,201
038530305X,234.7674526121128,190.30836800739712,112.94602404068424,164.48299292238968,139.8333245039655,111.17564225473522,212.65585851142225,136.12733971997054,112.94602404068424,224,169,109
038531292X,253.67031407109482,243.21440823327615,180.91547879576507,161.50448064497147,159.91470130679426,120.71143296130359,163.9539028887523,170.820528580209,142.99692685925015,245,238,180
038533320X,18.318112114499915,17.261032543874595,22.881070028965752,82.50444939320538,102.78632530300652,117.31450839354238,76.23000898472597,71.77497510786591,115.25522734815799,29,38,48
038533494X,185.33246219899198,238.23763300354676,223.88445025200673,108.85115364818266,174.72250447581277,143.47920374590734,132.4984233346472,199.93024981449418,156.89389067524115,151,231,213
038541627X,50.13364450371499,98.26052581444084,169.55000952562392,110.60364787449723,102.46920079584655,103.37521366144097,93.23735518508053,97.31791391319878,112.06612037298672,65,96,150
038542017X,82.0088326569587,169.9428264502268,126.29111959894963,155.7267754675711,157.6206554064242,115.48776790250352,162.41089896579157,169.9428264502268,126.29111959894963,91,170,128
038546858X,44.29486099410278,40.10025273799494,42.05331568179083,128.78071461695694,104.07129015843029,64.49858685793173,123.8659976387249,105.26439878747053,55.8236040609137,50,47,50
038548562X,249.2354382525903,219.61264351722207,105.5525763091571,172.79476804775618,157.19361673374834,123.49429701847782,173.36217008797655,154.6191348973607,116.96627565982405,239,212,111
038548979X,247.23587004895415,247.2471443406023,245.3416407061267,156.24061645831762,151.8083719391131,150.46267904970554,175.4512010387362,172.0116857822982,169.3864964293443,44,41,39
038550084X,244.43883155289998,244.89588991490132,238.22149797815197,219.98034280222936,196.99997064781547,187.27184630950097,223.24503311258277,212.69757174392936,204.59933774834437,242,242,235
038550120X,226.1470462633452,224.36768683274022,223.6814234875445,193.10873517024078,187.38396495142834,184.36187651534107,211.2465264739016,212.83364626361248,219.5371761171611,220,217,217
038551123X,195.99281759688762,195.84378273230584,196.6506060152626,174.24090838660527,165.16876826196398,165.06813911807984,195.99281759688762,195.84378273230584,196.6506060152626,215,216,216
039331829X,95.41659426585578,64.20417028670721,68.28496959165943,124.08395566470172,113.74197513260901,114.12529116738816,128.05625128310407,104.04331759392322,100.31779921987271,102,89,91
039332303X,9.608571428571429,16.738035714285715,15.528392857142856,88.76249240306171,83.76440051637545,84.03103436016656,84.89146976371646,65.16619943932719,62.67681217460953,17,22,21
039457799X,229.35665990534144,95.2237998647735,161.02011494252875,155.08357628525073,91.37684426541948,114.20151039936331,196.80895170789162,90.67444029850746,117.63667012448133,198,95,140
039458628X,144.66053431450968,78.97408414653655,53.74148136298192,111.4786003176446,79.50244900604092,65.38173889007604,114.26336336336337,78.97408414653655,53.74148136298192,125,81,65
039475817X,191.7118925445216,192.27331723513433,194.8466646543918,140.6864994001269,131.763753905377,131.5665298648518,147.50609901937335,145.06409949772782,143.4106673044726,175,174,175
039534400X,158.9341502827902,64.24306490708322,109.58214381901428,183.30345925650863,129.06735011751533,156.517868248718,181.5160991857883,101.21872686898594,142.79774241302738,163,73,118
039552248X,26.66387505658669,27.17632412856496,17.825033952014486,129.70752590501706,118.48400308815724,84.14071525125553,110.86388647552853,113.30321459600347,62.605643994211285,223,185,105
039731454X,214.6627836611195,48.08124054462935,8.001059001512859,192.46421923217912,96.54405536297418,44.495144148086695,233.40623179965056,90.76106366459628,22.63198757763975,43,14,7
039912442X,174.2250224014337,42.681675627240146,39.71191756272401,158.1153784997103,84.03326379353823,60.203517840625366,174.2250224014337,60.434237386993296,53.8445610965296,179,59,50
039915034X,58.88920881321983,59.29344016024036,59.947421131697546,85.00271959406278,85.99874661681922,85.6060089553676,85.22568003688336,88.47810050714615,87.61792159303049,75,77,78
039952200X,55.84926596107886,84.88084670536018,134.65414817343805,128.51282202263783,132.0055062003878,129.7105885097099,105.49783995062744,134.7597202221765,134.65414817343805,77,98,125
042153320X,6.392665265124971,143.02370941368838,216.45643541228685,126.40007994463966,174.02691780990818,146.97071098199925,78.54710144927536,168.81694312796208,125.20807530344315,245,229,86
042505084X,138.9099162011173,126.94134078212291,120.1445530726257,134.31924667802588,125.9087316696052,121.46458512660192,138.9099162011173,126.94134078212291,120.1445530726257,136,128,119
042505313X,116.64706578324657,93.89339801230479,81.04803596781827,157.34391513107565,129.61832952134552,110.22704665481373,159.56096510124945,127.64928909952607,99.2757722366952,120,96,82
042505733X,254.73097282672626,254.5353487824962,254.44547700270556,154.29176262174232,127.21772936294724,118.26789070630859,181.63713798977852,109.05706984667802,91.0442930153322,35,24,20
042509880X,186.19656712908534,191.85668939572068,191.3218904302845,158.71928539600543,128.70183517781376,137.6455935827601,163.3316962599169,130.96147723654886,135.13562559694364,173,180,180
042511743X,1.6277270421106038,3.667427701674277,2.915778792491121,66.52275480387911,101.46743317565372,102.34515629913145,52.844477675710316,95.00491348002564,92.86925870540483,15,32,29
042513525X,253.31697742885183,253.01364082433759,252.85691854759568,188.9099134663454,137.6345909579947,143.2311760446205,227.7964031218188,139.3714600956234,147.98602427363002,47,44,55
042514433X,251.81552525101154,250.85298965982318,250.13487187172186,181.41441530927221,152.8096754727282,130.69454485570844,177.29260633742507,150.47216671424493,123.84613188695404,155,117,79
042514707X,86.96077616077616,164.27290367290368,212.7117117117117,106.96110966427473,110.5999665029105,64.35885959797581,86.96077616077616,103.45690515806989,27.34785393978219,52,53,19
042514951X,254.28072265237245,254.28067301965456,254.24374627754617,155.06769672643787,155.0062156713937,154.86455824329235,167.286890805645,167.16395351191562,166.89910202676708,34,34,34
042518286X,23.47003054882545,19.160539344780364,15.664700305488255,117.64816585818699,65.8336570668635,65.5286487955574,108.85349940688019,38.99570024570025,48.88472563472563,212,63,72
042518580X,152.22617436690507,102.80997486951479,98.38565629228687,170.71432949527056,150.89155567280147,155.70143330979357,189.50657501494322,152.77316198445905,149.26479378362222,215,202,214
043545353X,7.866934013853445,8.535545023696683,93.92095029772754,117.57935476690155,80.08485993132064,90.33998480164766,94.93795093795094,72.11206368646663,92.02143294549909,10,11,94
043910677X,128.55720074812967,138.22100997506234,91.6232855361596,132.6806670997488,130.27979985890113,83.4608993392392,128.55720074812967,138.22100997506234,88.247027234369,54,54,41
043940987X,248.1631382316314,238.39363749575455,96.1608739952451,208.3856381978231,124.39621897108377,62.712889863277155,244.64806668210232,126.79055944055943,63.878321678321676,243,203,90
043948622X,249.97050610820244,249.37766143106458,148.55183246073298,209.7133683071184,190.45812535086725,158.33157154762293,231.64913176710928,187.29952330508473,148.55183246073298,230,200,143
044011392X,245.35841392649903,237.83597678916828,176.3274661508704,144.65330923787462,124.35680421248287,87.21589449789306,150.07232297063902,122.82879965457686,82.65716753022453,205,186,133
044013160X,13.680953818291579,9.719438575309388,8.250830063386658,151.22953177282565,126.90239991348567,83.95385141294439,162.38922155688624,126.12652954959646,75.93958048335614,16,11,8
044014602X,171.59985164427593,155.0375834500948,139.7553778949971,94.05040105082853,87.02828191765715,80.81339436630803,98.64341085271317,93.38081395348837,88.61046511627907,167,152,138
044017161X,37.84715127701375,54.655140798952196,83.61977734119188,90.88525045918387,73.84945503206616,84.75138524606791,57.753480090644224,60.39621430863009,83.61977734119188,49,57,79
044021971X,9.245032100275145,5.536609599510853,5.5270559461938245,111.46074910113025,87.29745502842327,84.46813816341765,121.62154696132596,76.28314917127072,68.37154696132596,184,149,138
044022389X,181.72662576687117,157.31116564417178,203.419263803681,112.4970202317865,96.93228460674119,130.37030452789773,121.9578947368421,106.48736842105264,139.79526315789474,166,142,188
044023672X,1.0008537279453613,0.49964428002276606,0.646129766647695,122.05379858922959,98.9061030739312,55.67514972990487,118.03875,90.2775,53.009375,207,170,75
