User-ID,Location,Age,Country,Age-Group
4385,"albq, new mexico, usa",33.0,usa,3
4401,"boston, massachusetts, usa",28.0,usa,2
4420,"balgach, st.gallen, switzerland",24.0,switzerland,2
4622,"norfolk, virginia, usa",18.0,usa,1
4785,"litchfield, connecticut, usa",30.0,usa,3
4802,"london, england, united kingdom",28.0,united kingdom,2
4896,"ploiesti, prahova, romania",18.0,romania,1
4938,"charleston, south carolina, usa",30.0,usa,3
5127,"castelnovo monti (re), emilia romagna, italy",33.0,italy,3
5158,"lyon, rhone, france",21.0,france,2
5204,"lyon, rh�ne-alpes, france",24.0,france,2
5208,"brest, bretagne, france",20.0,france,2
5209,"medford, new jersey, usa",48.0,usa,4
5225,"edewecht, niedersachsen, germany",27.0,germany,2
5287,"ottawa, ontario, canada",22.0,canada,2
5331,"hull, england, united kingdom",26.0,united kingdom,2
5350,"k�ln, nordrhein-westfalen, germany",20.0,germany,2
5439,"houston, texas, usa",66.0,usa,6
5483,"bayan lepas, penang, malaysia",20.0,malaysia,2
5539,"austin, texas, usa",32.0,usa,3
5543,"cumberland, maryland, usa",29.0,usa,2
5582,"seattle, washington, usa",26.0,usa,2
5609,"oradea, bihor, romania",25.0,romania,2
5694,"lake forest, california, usa",43.0,usa,4
5834,"aachen, nordrhein-westfalen, germany",26.0,germany,2
5899,"ulm, baden-wuerttemberg, germany",25.0,germany,2
5903,"vienna, vienna, austria",25.0,austria,2
5956,"indianapolis, indiana, usa",27.0,usa,2
6051,"austin, texas, usa",33.0,usa,3
6251,"wahiawa, hawaii, usa",32.0,usa,3
6323,"wilmington, north carolina, usa",35.0,usa,3
6360,"ourense, galicia, spain",21.0,spain,2
6366,"madrid, madrid, spain",20.0,spain,2
6431,"wylie, texas, usa",30.0,usa,3
6543,"strafford, missouri, usa",34.0,usa,3
6563,"burien, washington, usa",31.0,usa,3
6564,"lisboa, estremadura, portugal",37.0,portugal,3
6577,"coral springs, florida, usa",62.0,usa,6
6703,"cadiz, andalucia, spain",24.0,spain,2
6731,"buford, georgia, usa",29.0,usa,2
6866,"paris, ile de france, france",51.0,france,5
6894,"colorado springs, colorado, usa",20.0,usa,2
6900,"sunnyvale, california, usa",25.0,usa,2
7060,"wild rose, wisconsin, usa",16.0,usa,1
7125,"apo, ae, usa",28.0,usa,2
7128,"apo, ae, usa",8.0,usa,0
7132,"m�laga, m�laga, spain",44.0,spain,4
7158,"omaha, nebraska, usa",30.0,usa,3
7181,"oviedo, asturias, spain",24.0,spain,2
7283,"saint marys, georgia, usa",30.0,usa,3
7286,"pasco, washington, usa",28.0,usa,2
7312,"walnut ridge, arkansas, usa",23.0,usa,2
7346,"sunnyvale, california, usa",49.0,usa,4
7371,"winnipeg, manitoba, canada",26.0,canada,2
7547,"leipzig, sachsen, germany",36.0,germany,3
7620,"knoxville, tennessee, usa",21.0,usa,2
7637,"tavistock, ontario, canada",28.0,canada,2
7887,"altoona, pennsylvania, usa",23.0,usa,2
7958,"oeiras, lisbon, portugal",27.0,portugal,2
8067,"owings mills, maryland, usa",26.0,usa,2
8094,"ourense, ourense, spain",13.0,spain,1
8234,"colorado springs, colorado, usa",44.0,usa,4
8245,"torrance, california, usa",31.0,usa,3
8250,"carrollton, texas, usa",34.0,usa,3
8253,"tulsa, oklahoma, usa",26.0,usa,2
8255,"savage, minnesota, usa",47.0,usa,4
8284,"manchester, kentucky, usa",28.0,usa,2
8314,"newark, california, usa",36.0,usa,3
8344,"hamburg, hamburg, germany",35.0,germany,3
8362,"los angeles, california, usa",28.0,usa,2
8419,"fribourg, fribourg, switzerland",21.0,switzerland,2
8483,"worms, rheinland-pfalz, germany",36.0,germany,3
8487,"carrollton, texas, usa",30.0,usa,3
8512,"barcelona, catalunya, spain",43.0,spain,4
8660,"innsbruck, tirol, austria",25.0,austria,2
8681,"orlando, florida, usa",34.0,usa,3
8765,"san bartolom� lanzarote, las palmas, spain",60.0,spain,6
8782,"calgary, alberta, canada",239.0,canada,23
8801,"san francisco, california, usa",24.0,usa,2
8815,"birmingham, england, united kingdom",23.0,united kingdom,2
8870,"austin, texas, usa",45.0,usa,4
8890,"paris, ile-de-france, france",47.0,france,4
8936,"elizabeth city, north carolina, usa",18.0,usa,1
8971,"berlin, berlin, germany",27.0,germany,2
9141,"durango, colorado, usa",65.0,usa,6
9143,"madrid, madrid, spain",47.0,spain,4
9227,"glendora, california, usa",24.0,usa,2
9354,"albuquerque, new mexico, usa",30.0,usa,3
9417,"whitby, ontario, canada",26.0,canada,2
9440,"indianapolis, indiana, usa",21.0,usa,2
9571,"reinbek, schleswig-holstein, germany",27.0,germany,2
9613,"collings lakes, new jersey, usa",34.0,usa,3
9660,"albuquerque, new mexico, usa",35.0,usa,3
9856,"glendale, colorado, usa",22.0,usa,2
9908,"woodstock, georgia, usa",36.0,usa,3
10030,"pittsburgh, pennsylvania, usa",66.0,usa,6
10067,"watton, norfolk, england",61.0,england,6
10118,"minneapolis, minnesota, usa",44.0,usa,4
10354,"martinsburg, west virginia, usa",15.0,usa,1
10546,"wendlingen, baden-wuerttemberg, germany",28.0,germany,2
10560,"chicago, illinois, usa",27.0,usa,2
10561,"l�nen, nordrhein- westfalen, germany",16.0,germany,1
10571,"benalm�dena, m�laga, spain",25.0,spain,2
10590,"shah alam, selangor, malaysia",22.0,malaysia,2
10716,"troy, michigan, usa",54.0,usa,5
10776,"berlin, berlin, germany",29.0,germany,2
10819,"richmond, kentucky, usa",27.0,usa,2
11120,"kerava, uusimaa, finland",58.0,finland,5
11172,"cologne, nordrhein-westfalen, germany",27.0,germany,2
11192,"worms, rheinland-pfalz, germany",49.0,germany,4
11198,"stuttgart, baden-wuerttemberg, germany",45.0,germany,4
11224,"tumwater, washington, usa",51.0,usa,5
11400,"ottawa, ontario, canada",49.0,canada,4
11629,"houston, texas, usa",21.0,usa,2
11687,"orillia, ontario, canada",47.0,canada,4
11690,"landau, rheinland-pfalz, germany",30.0,germany,3
11709,"davison, michigan, usa",29.0,usa,2
11724,"west lawn, pennsylvania, usa",42.0,usa,4
11881,"paris, ile de france, france",32.0,france,3
11993,"lakewood, colorado, usa",37.0,usa,3
12081,"schwarme, niedersachsen, germany",19.0,germany,1
12100,"quezon city, national capital region, philippines",26.0,philippines,2
12122,"cooks hill, new south wales, australia",26.0,australia,2
12143,"pleasant hill, california, usa",51.0,usa,5
12189,"ourense, galicia, spain",24.0,spain,2
12238,"oklahoma city, oklahoma, usa",31.0,usa,3
12246,"karlsruhe, baden-wuerttemberg, germany",15.0,germany,1
12272,"ploiesti, prahova, romania",18.0,romania,1
12538,"byron, minnesota, usa",18.0,usa,1
12569,"selangor, subang jaya, malaysia",22.0,malaysia,2
12614,"youngsville, louisiana, usa",51.0,usa,5
12650,"donostia, gipuzkoa, spain",27.0,spain,2
12657,"bremen, bremen, germany",48.0,germany,4
12680,"washington, dc, usa",20.0,usa,2
12824,"long beach, california, usa",18.0,usa,1
12835,"hamburg, hamburg, germany",38.0,germany,3
12863,"london, england, united kingdom",29.0,united kingdom,2
12982,"getxo, vizcaya, spain",41.0,spain,4
13093,"zaragoza, aragon, spain",29.0,spain,2
13126,"mumbai, maharashtra, india",21.0,india,2
13173,"norfolk, virginia, usa",55.0,usa,5
13215,"frechen, nordrhein-westfalen, germany",26.0,germany,2
13221,"iqaluit, nunavut, canada",45.0,canada,4
13273,"harrisburg, pennsylvania, usa",201.0,usa,20
13280,"lakewood, colorado, usa",65.0,usa,6
13347,"vigo, vigo pontevedra, spain",49.0,spain,4
13540,"doha, doha, qatar",15.0,qatar,1
13552,"cordova, tennessee, usa",32.0,usa,3
13582,"lisboa, lisboa, portugal",29.0,portugal,2
13810,"berlin, berlin, germany",37.0,germany,3
13867,"nantes, loire atlantique, france",24.0,france,2
13872,"barcelona, catalunya, spain",17.0,spain,1
13873,"granollers, barcelona, catalunya",26.0,catalunya,2
13874,"montreuil, ile-de-france, france",46.0,france,4
13935,"lancaster, pennsylvania, usa",36.0,usa,3
14079,"valencia, valencia, spain",41.0,spain,4
14087,"ann arbor, michigan, usa",31.0,usa,3
14164,"sant cugat del vall�s, catalunya, spain",53.0,spain,5
14232,"paris, paris, france",23.0,france,2
14320,"mannheim, baden-w�rttemberg, germany",32.0,germany,3
14374,"porter, maine, usa",57.0,usa,5
14387,"coalville, leicestershire, england, united kingdom",35.0,united kingdom,3
14449,"saskatoon, saskatchewan, canada",72.0,canada,7
14451,"lisboa, lisboa, portugal",26.0,portugal,2
14456,"edmonton, alberta, canada",27.0,canada,2
14461,"aachen, nordrhein-westfalen, germany",31.0,germany,3
14541,"mislata, valencia, spain",17.0,spain,1
14553,"la pobla de vallbona, valencia, spain",24.0,spain,2
14562,"aschaffenburg, bayern, germany",39.0,germany,3
14618,"mijas costa, m�laga, spain",16.0,spain,1
14627,"paris, paris, france",29.0,france,2
14638,"roquemaure, languedoc roussillon, france",33.0,france,3
14768,"corvallis, oregon, usa",24.0,usa,2
14897,"shiki, saitama, japan",24.0,japan,2
14958,"lezo, euskadi, spain",39.0,spain,3
15008,"sheffield, england, united kingdom",37.0,united kingdom,3
15021,"lake mary, florida, usa",37.0,usa,3
15049,"benbrook, texas, usa",28.0,usa,2
15093,"davis, california, usa",21.0,usa,2
15135,"shreveport, louisiana, usa",33.0,usa,3
15150,"zaragoza, arag�n, spain",22.0,spain,2
15185,"santander, cantabria, spain",20.0,spain,2
15202,"palma de mallorca, illes balears, spain",34.0,spain,3
15250,"philippsthal, hessen, germany",28.0,germany,2
15361,"bristol, pennsylvania, usa",39.0,usa,3
15408,"cary, north carolina, usa",34.0,usa,3
15418,"vitoria, �lava, spain",23.0,spain,2
15421,"sevilla, sevilla, spain",46.0,spain,4
15497,"fresno, california, usa",38.0,usa,3
15542,"vva de la serena, badajoz, spain",18.0,spain,1
15602,"cherry hill, new jersey, usa",21.0,usa,2
15651,"springfield, missouri, usa",23.0,usa,2
15918,"cardiff, wales, united kingdom",23.0,united kingdom,2
15922,"tours, indre et loire, france",27.0,france,2
15945,"charlotte, north carolina, usa",36.0,usa,3
15957,"sydney, new south wales, australia",27.0,australia,2
15964,"chicago, illinois, usa",26.0,usa,2
16005,"chicago, illinois, usa",30.0,usa,3
16009,"stratford, new jersey, usa",25.0,usa,2
16106,"albany, california, usa",44.0,usa,4
16121,"tarrytown, new york, usa",37.0,usa,3
16161,"cobram, victoria, australia",28.0,australia,2
16208,"gross-gerau, hessen, germany",34.0,germany,3
16220,"milano, lombardia, italy",30.0,italy,3
16246,"kitakyushu, fukuoka, japan",32.0,japan,3
16488,"milwaukee, wisconsin, usa",36.0,usa,3
16504,"kuching, sarawak, malaysia",28.0,malaysia,2
16599,"roselle, illinois, usa",33.0,usa,3
16601,"brewster, new york, usa",40.0,usa,4
16634,"little rock, arkansas, usa",42.0,usa,4
16654,"m�laga, andalucia, spain",35.0,spain,3
16673,"cadiz, cadiz, spain",30.0,spain,3
16718,"houston, texas, usa",29.0,usa,2
16730,"halfmoon bay, british columbia, canada",71.0,canada,7
16759,"allen park, michigan, usa",34.0,usa,3
16777,"hummelstown, pennsylvania, usa",30.0,usa,3
16795,"mechanicsville, maryland, usa",47.0,usa,4
16867,"m�rfelden-walldorf, hessen, germany",25.0,germany,2
16871,"leroy, new york, usa",26.0,usa,2
16877,"houston, arkansas, usa",37.0,usa,3
16908,"chicago, illinois, usa",55.0,usa,5
16916,"hackettstown, new jersey, usa",53.0,usa,5
16949,"cadillac, michigan, usa",49.0,usa,4
16966,"waterloo, ontario, canada",41.0,canada,4
16996,"stratford, iowa, usa",23.0,usa,2
16999,"alexandria, virginia, usa",48.0,usa,4
17045,"holb�k, sj�lland, denmark",25.0,denmark,2
17054,"boulogne billancourt, haut de seine, france",26.0,france,2
17172,"m�stoles, madrid, spain",28.0,spain,2
17183,"zaragoza, zaragoza, spain",23.0,spain,2
17190,"woodstock, georgia, usa",31.0,usa,3
17282,"irwin, pennsylvania, usa",38.0,usa,3
17330,"lille, nord, france",34.0,france,3
17507,"dublin, dublin, ireland",37.0,ireland,3
17578,"frankfurt, hessen, germany",37.0,germany,3
17667,"iowa city, iowa, usa",33.0,usa,3
17702,"bochum, nordrhein-westfalen, germany",21.0,germany,2
17789,"paris, idf, france",26.0,france,2
17859,"roanoke, virginia, usa",43.0,usa,4
17872,"halle, sachsen-anhalt, germany",24.0,germany,2
17890,"wisconsin rapids, wisconsin, usa",17.0,usa,1
17894,"alabaster, alabama, usa",47.0,usa,4
17950,"puchong, selangor, malaysia",32.0,malaysia,3
18067,"kajang, selangor, malaysia",33.0,malaysia,3
18082,"southern, california, usa",38.0,usa,3
18095,"birmingham, alabama, usa",30.0,usa,3
18097,"kiel, schleswig-holstein, germany",27.0,germany,2
18134,"ulm, baden-wuerttemberg, germany",23.0,germany,2
18155,"sydney, new south wales, australia",26.0,australia,2
18170,"reus, catalunya, andorra",27.0,andorra,2
18172,"levittown, pennsylvania, usa",36.0,usa,3
18196,"paris, ile de france, france",28.0,france,2
18254,"nanaimo, british columbia, canada",34.0,canada,3
18309,"rennes, bretagne, france",34.0,france,3
18323,"augusta, maine, usa",41.0,usa,4
18366,"philadelphia, pennsylvania, usa",33.0,usa,3
18384,"palma de mallorca, baleares, spain",37.0,spain,3
18395,"redmond, oregon, usa",44.0,usa,4
18398,"hamburg, hamburg, germany",28.0,germany,2
18412,"thun, bern, switzerland",44.0,switzerland,4
18428,"frankfurt am main, hessen, germany",36.0,germany,3
18464,"padova, veneto, italy",32.0,italy,3
18494,"durbuy, luxembourg, belgium",34.0,belgium,3
18741,"kerpen, nordrhein-westfalen, germany",44.0,germany,4
18850,"berlin, berlin, germany",28.0,germany,2
18852,"barcelona, catalonia, spain",44.0,spain,4
19085,"menomonie, wisconsin, usa",60.0,usa,6
19220,"hatboro, pennsylvania, usa",47.0,usa,4
19422,"indialantic, florida, usa",37.0,usa,3
19522,"candler, north carolina, usa",54.0,usa,5
19570,"bolingbrook, illinois, usa",63.0,usa,6
19573,"stockton, california, usa",69.0,usa,6
19609,"jenkintown, pennsylvania, usa",28.0,usa,2
19611,"salzgitter, niedersachsen, germany",36.0,germany,3
19664,"katonah, new york, usa",19.0,usa,1
19681,"del aire, california, usa",44.0,usa,4
19753,"st.louis, missouri, usa",14.0,usa,1
19760,"clemson, south carolina, usa",23.0,usa,2
19807,"rheinzabern, rheinland-pfalz, germany",35.0,germany,3
19969,"antelope, california, usa",44.0,usa,4
19970,"san diego, california, usa",34.0,usa,3
20052,"haar, bavaria, germany",43.0,germany,4
20060,"baltimore, maryland, usa",48.0,usa,4
20062,"wieselburg, niederoesterreich, austria",25.0,austria,2
20115,"lansdale, pennsylvania, usa",32.0,usa,3
20119,"manchester, new hampshire, usa",51.0,usa,5
20172,"saratoga springs, utah, usa",27.0,usa,2
20180,"sacramento, california, usa",36.0,usa,3
20201,"grove city, ohio, usa",31.0,usa,3
20240,"telde, las  palmas, spain",28.0,spain,2
20254,"astoria, new york, usa",33.0,usa,3
20336,"ballston spa, new york, usa",32.0,usa,3
20347,"st. l�, normandy, france",45.0,france,4
20401,"graz, steiermark, austria",25.0,austria,2
20409,"livermore, california, usa",51.0,usa,5
20501,"hamburg, hamburg, germany",30.0,germany,3
20561,"baltimore, maryland, usa",40.0,usa,4
20688,"gav�, barcelona (catalunya), spain",104.0,spain,10
20794,"great barrington, massachusetts, usa",31.0,usa,3
20845,"berlin, berlin, germany",0.0,germany,0
20851,"l�beck, schleswig-holstein, germany",0.0,germany,0
20857,"stuttgart, baden-wuerttemberg, germany",244.0,germany,24
20858,"siegburg, nordrhein-westfalen, germany",24.0,germany,2
20859,"t�bingen, baden-w�rttemberg, germany",0.0,germany,0
20961,"ottawa, ontario, canada",47.0,canada,4
20971,"sacramento, california, usa",20.0,usa,2
21011,"san francisco, california, usa",44.0,usa,4
21031,"alexandria, virginia, usa",36.0,usa,3
21135,"santiago, santiago, chile",31.0,chile,3
21155,"bonn, nordrhein-westfalen, germany",37.0,germany,3
21252,"duluth, minnesota, usa",28.0,usa,2
21343,"sydney, new south wales, australia",40.0,australia,4
21356,"westwood, new jersey, usa",56.0,usa,5
21364,"san diego, california, usa",32.0,usa,3
21370,"jonesborough, tennessee, usa",36.0,usa,3
21484,"madison, wisconsin, usa",21.0,usa,2
21576,"memphis, tennessee, usa",31.0,usa,3
21618,"atlanta, georgia, usa",24.0,usa,2
21659,"san jose, california, usa",31.0,usa,3
21774,"lecco, lombardia, italy",21.0,italy,2
21937,"new haven, vermont, usa",40.0,usa,4
22022,"oceanside, california, u.s.a.",35.0,u.s.a.,3
22023,"windsor, ontario, canada",35.0,canada,3
22062,"houston, texas, usa",52.0,usa,5
22154,"cleveland, ohio, usa",36.0,usa,3
22161,"madrid, madrid, spain",39.0,spain,3
22192,"barcelona, barcelona, spain",31.0,spain,3
22200,"new delhi, delhi, india",36.0,india,3
22243,"sintra, lisboa, portugal",25.0,portugal,2
22296,"lille, nord, france",38.0,france,3
22365,"castle rock, colorado, usa",51.0,usa,5
22409,"toledo, ohio, usa",28.0,usa,2
22495,"drums, pennsylvania, usa",29.0,usa,2
22521,"montgomery, alabama, usa",18.0,usa,1
22532,"winnipeg, manitoba, canada",36.0,canada,3
22625,"lynbrook, new york, usa",54.0,usa,5
22648,"selestat, alsace, france",35.0,france,3
22710,"bochum, nordrhein-westfalen, germany",33.0,germany,3
22818,"franklin, pennsylvania, usa",28.0,usa,2
22885,"stratford, england, united kingdom",30.0,united kingdom,3
22924,"madrid, madrid, spain",32.0,spain,3
22981,"rennes, bretagne, france",23.0,france,2
22991,"munich, bayern, germany",42.0,germany,4
23065,"plymouth, massachusetts, usa",26.0,usa,2
23127,"granada, granada, spain",22.0,spain,2
23200,"dallgow-d�beritz, brandenburg, germany",30.0,germany,3
23204,"berlin, berlin, germany",26.0,germany,2
23511,"chapel hill, north carolina, usa",56.0,usa,5
23571,"burbank, california, usa",41.0,usa,4
23582,"lake st. louis, missouri, usa",37.0,usa,3
23619,"burlington, vermont, usa",34.0,usa,3
23650,"mountain view, california, usa",19.0,usa,1
23659,"hopkinsville, kentucky, usa",41.0,usa,4
23699,"minneapolis, minnesota, usa",25.0,usa,2
23725,"belo horizonte, minas gerais, brazil",57.0,brazil,5
23768,"st. louis, missouri, usa",45.0,usa,4
23847,"chicago, illinois, usa",36.0,usa,3
23872,"tulsa, oklahoma, usa",22.0,usa,2
23997,"jacksonville, florida, usa",35.0,usa,3
24082,"kuala lumpur, wilayah persekutuan, malaysia",28.0,malaysia,2
24172,"gawler sth, south australia, australia",45.0,australia,4
24186,"vineland, new jersey, usa",36.0,usa,3
24193,"buffalo, new york, usa",33.0,usa,3
24194,"palos hills, illinois, usa",20.0,usa,2
24283,"wien, wien, austria",27.0,austria,2
24433,"deventer, overijssel, netherlands",37.0,netherlands,3
24459,"augsburg, bayern, germany",47.0,germany,4
24462,"barcelona, catalunya, spain",1.0,spain,0
24525,"denver, colorado, usa",28.0,usa,2
24544,"orlando, florida, usa",40.0,usa,4
24570,"brooklyn, new york, usa",36.0,usa,3
24624,"decatur, georgia, usa",38.0,usa,3
24733,"oswego, new york, usa",32.0,usa,3
24748,"barcelona, barcelona, spain",35.0,spain,3
24792,"gif-sur-yvette, ile de france, france",42.0,france,4
24835,"san francisco, california, usa",51.0,usa,5
24921,"higley, arizona, usa",29.0,usa,2
24933,"long island, new york, usa",44.0,usa,4
25076,"braunschweig, niedersachsen, germany",34.0,germany,3
25103,"somerville, massachusetts, usa",29.0,usa,2
25261,"skokie, illinois, usa",67.0,usa,6
25324,"wien, wien, austria",26.0,austria,2
25409,"la mesa, california, usa",31.0,usa,3
25436,"chambery, savoie, france",30.0,france,3
25466,"toulouse, midi-pyr�n�es, france",33.0,france,3
25533,"derby, derbyshire, united kingdom",38.0,united kingdom,3
25542,"velden, kaernten, austria",63.0,austria,6
25601,"gilbert, arizona, usa",41.0,usa,4
25630,"moving, moving, usa",46.0,usa,4
25695,"albq, new mexico, usa",32.0,usa,3
25792,"edmonton, alberta, canada",29.0,canada,2
25827,"austin, texas, usa",33.0,usa,3
25850,"mastic beach, new york, usa",50.0,usa,5
25893,"merseburg, sachsen-anhalt, germany",23.0,germany,2
25916,"patton, missouri, usa",24.0,usa,2
25955,"brussels, brussels, belgium",28.0,belgium,2
25957,"lich, hessen, germany",41.0,germany,4
25996,"cave creek, arizona, usa",36.0,usa,3
26084,"tuscaloosa, alabama, usa",21.0,usa,2
26371,"vancouver, british columbia, canada",65.0,canada,6
26443,"malakoff, hauts-de-seine, france",27.0,france,2
26487,"winder, georgia, usa",44.0,usa,4
26516,"victor, montana, usa",67.0,usa,6
26535,"hickory, mississippi, usa",41.0,usa,4
26538,"rawlins, wyoming, usa",32.0,usa,3
26544,"woodbridge, virginia, usa",37.0,usa,3
26680,"montgat, catalunya, spain",27.0,spain,2
26713,"santa cruz, california, usa",39.0,usa,3
26730,"herculaneum, missouri, usa",13.0,usa,1
26813,"citt� di castello, umbria, italy",28.0,italy,2
27064,"hamburg, hamburg, germany",34.0,germany,3
27140,"baltimore, maryland, usa",49.0,usa,4
27193,"watertown, massachusetts, usa",29.0,usa,2
27300,"berlin, berlin, germany",27.0,germany,2
27313,"miami, florida, usa",14.0,usa,1
27363,"leicester, england, united kingdom",30.0,united kingdom,3
27472,"bountiful, utah, usa",41.0,usa,4
27540,"twin lake, michigan, usa",15.0,usa,1
27551,"apache junction, arizona, usa",56.0,usa,5
27596,"gurnee, illinois, usa",15.0,usa,1
27617,"beaverton, ontario, canada",32.0,canada,3
27650,"canberra, australian capital territory, australia",27.0,australia,2
27741,"aachen, nordrhein-westfalen, germany",29.0,germany,2
27744,"unteraegeri, zug, switzerland",24.0,switzerland,2
27812,"long beach, california, usa",33.0,usa,3
27813,"boerne, texas, usa",34.0,usa,3
27929,"pully, vaud, switzerland",42.0,switzerland,4
27947,"lima, ohio, usa",28.0,usa,2
28016,"port clinton, ohio, usa",31.0,usa,3
28076,"kansas city, missouri, usa",25.0,usa,2
28150,"portland, oregon, usa",25.0,usa,2
28177,"grand rapids, michigan, usa",26.0,usa,2
28204,"south ohio, nova scotia, canada",61.0,canada,6
28299,"amarillo, texas, usa",36.0,usa,3
28360,"oakwood, georgia, usa",15.0,usa,1
28454,"portland, maine, usa",50.0,usa,5
28488,"la vila joiosa, alicante, spain",41.0,spain,4
28492,"slough, england, united kingdom",31.0,united kingdom,3
28523,"springfield, missouri, usa",24.0,usa,2
28534,"essen, nordrhein-westfalen, germany",34.0,germany,3
28537,"bochum, nordrhein-westfalen, germany",29.0,germany,2
28591,"michie, tennessee, usa",33.0,usa,3
28594,"thunder bay, ontario, canada",18.0,canada,1
28634,"bad axe, michigan, usa",28.0,usa,2
28666,"irving, texas, usa",31.0,usa,3
28735,"hannover, niedersachsen, germany",58.0,germany,5
28877,"modesto, california, usa",68.0,usa,6
28938,"asheville, north carolina, usa",38.0,usa,3
29101,"bolivar, missouri, usa",38.0,usa,3
29351,"reinbek, schleswig-holstein, germany",50.0,germany,5
29372,"paris, paris, france",39.0,france,3
29526,"knoxville, tennessee, usa",26.0,usa,2
29605,"frankfurt, hessen, germany",46.0,germany,4
29743,"la mirada, california, usa",22.0,usa,2
29855,"morris, connecticut, usa",53.0,usa,5
29905,"conway, arkansas, usa",33.0,usa,3
29915,"fullerton, california, usa",38.0,usa,3
30035,"vancouver, british columbia, canada",37.0,canada,3
30072,"st. louis, missouri, usa",11.0,usa,1
30081,"east providence, rhode island, usa",25.0,usa,2
30261,"manchester, missouri, usa",27.0,usa,2
30273,"naples, florida, usa",25.0,usa,2
30276,"wildwood, new jersey, usa",49.0,usa,4
30312,"auburn, california, usa",25.0,usa,2
30319,"artesia, california, usa",41.0,usa,4
30324,"winnipeg, manitoba, canada",33.0,canada,3
30487,"newbury park, california, usa",40.0,usa,4
30509,"norwich, norfolk, united kingdom",51.0,united kingdom,5
